XUSXEYAF=MO07:00-10:00,TU05:06-10:11,WE00:00-21:35,TH13:33-14:44,FR19:15-20:29,SA00:16-00:47,SU01:05-09:15,
AMVDTSEB=MO01:33-02:43,TU03:10-06:11,WE17:14-21:34,TH02:04-04:22,FR05:46-06:50,SA13:18-15:34,SU00:17-01:23,
AOGRZCOU=MO03:23-08:30,TU02:17-03:45,WE00:24-21:32,TH09:08-10:17,FR14:13-19:21,SA11:09-15:16,SU05:00-16:30,
TRKFNDFI=MO00:23-00:34,TU07:08-19:25,WE04:00-10:01,TH06:13-08:35,FR08:19-12:44,SA02:03-03:37,SU10:06-19:14,
DWRWCAHX=MO09:02-20:07,TU05:00-07:02,WE02:15-05:46,TH11:22-18:56,FR01:01-16:10,SA00:09-00:18,SU01:03-11:05,
XZMLJGCQ=MO00:10-01:22,TU18:02-21:08,WE00:02-04:11,TH00:00-02:00,FR00:12-03:39,SA00:23-00:28,SU02:46-06:47,
OLCSNBTG=MO17:49-18:55,TU11:06-20:07,WE02:16-11:43,TH00:12-00:16,FR13:03-19:38,SA18:15-19:21,SU01:01-09:03,
JJTJIQDV=MO14:06-15:16,TU01:14-18:36,WE02:11-16:33,TH01:01-03:04,FR08:21-10:22,SA10:02-15:48,SU10:04-12:24,
YDPLJTSV=MO00:20-03:49,TU07:26-08:37,WE01:21-02:36,TH01:17-03:53,FR03:11-04:26,SA06:08-07:18,SU04:47-08:48,
QSRDCIPB=MO01:04-02:28,TU02:10-06:43,WE00:05-04:21,TH01:02-06:03,FR13:19-18:33,SA03:02-22:04,SU06:40-08:56,
LWDZYEQW=MO10:13-17:26,TU00:37-13:53,WE08:02-15:20,TH08:05-10:21,FR10:00-18:33,SA07:02-16:22,SU03:33-11:51,
WWSOLDSC=MO03:22-09:55,TU00:20-08:28,WE15:43-17:44,TH06:03-18:06,FR04:07-14:12,SA10:28-15:44,SU00:11-01:46,
VPIJGEPI=MO00:05-02:18,TU18:08-21:12,WE01:17-06:26,TH04:19-13:35,FR14:08-15:24,SA06:02-08:10,SU10:00-21:14,
RAZFOYZD=MO00:07-03:08,TU00:05-01:10,WE10:39-22:48,TH00:01-00:02,FR15:42-19:47,SA03:31-07:57,SU00:01-08:19,
RXVZFPKH=MO01:00-15:01,TU11:05-15:06,WE04:01-08:02,TH04:14-05:25,FR17:01-22:23,SA16:00-20:01,SU01:00-06:01,
FPPLQUGS=MO00:33-01:50,TU02:18-20:19,WE03:00-05:07,TH02:23-04:28,FR04:30-20:32,SA14:13-22:40,SU00:00-13:02,
LMFPPQRH=MO02:19-06:48,TU03:09-14:44,WE06:21-12:22,TH00:48-06:57,FR00:03-01:20,SA03:21-11:24,SU06:03-10:12,
SVIMFVCN=MO00:05-01:06,TU12:32-13:40,WE09:05-10:37,TH19:03-20:42,FR04:46-10:52,SA00:14-11:16,SU06:25-15:27,
PDGCQOWX=MO06:47-08:56,TU12:04-13:06,WE16:00-21:16,TH06:14-14:51,FR00:07-00:13,SA00:00-00:01,SU13:06-18:07,
AQVAOFMX=MO10:07-13:58,TU00:13-05:19,WE00:30-00:37,TH04:22-19:29,FR02:16-03:57,SA06:00-14:02,SU01:01-02:06,
UFVFVWIV=MO10:08-13:23,TU01:00-13:35,WE03:10-08:22,TH00:21-00:34,FR05:28-22:39,SA01:04-14:24,SU00:20-21:21,
BESVJNHS=MO13:25-18:39,TU00:24-11:47,WE02:01-04:02,TH19:07-21:08,FR03:48-05:50,SA05:14-09:17,SU02:21-09:25,
AGQSERBN=MO03:41-07:46,TU00:12-14:47,WE03:01-06:20,TH00:09-00:27,FR03:11-21:36,SA17:26-18:52,SU02:01-04:20,
EHFGOEMD=MO07:17-19:46,TU00:35-04:37,WE01:00-02:03,TH07:11-11:12,FR02:42-21:45,SA02:18-06:32,SU09:24-11:31,
MKEXYMJU=MO00:04-11:06,TU01:06-05:22,WE00:00-04:10,TH08:28-12:34,FR03:00-06:06,SA05:14-19:52,SU03:01-13:13,
ANDGWVXT=MO01:03-08:41,TU20:10-22:18,WE06:01-10:06,TH00:22-20:29,FR04:01-07:05,SA08:30-12:34,SU01:11-04:16,
